"iso_code","country","continent","confirmed","confirmed_per_mil","deaths","deaths_per_mil","tests_performed","gdp_pc","median_age","aged_65_older","diab_prev","cardio_dr","hosp_beds_per_thou","hdi","overwgh_prev","gdp_pc_er"
"CRI","Costa Rica","NAM",55454,10885.897,590,115.82,256826,19642.418,33.599998,9.880435,9.1000004,137.97301,1.13,0.794,61.5,20605.9548933905
"CUB","Cuba","NAM",4684,413.539,108,9.5349998,485147,NA,43.099998,15.56496,9.6000004,190.968,5.2,0.778,62.200001,NA
"CZE","Czech Republic","EU",36188,3379.219,456,42.581001,1062436,40314.227,43.299999,19.800745,7,227.485,6.63,0.891,66.699997,40232.3814619964
"DEU","Germany","EU",260355,3107.457,9350,111.597,13436301,53815.367,46.599998,21.562992,10.4,156.13901,8,0.939,62.799999,53924.1861569246
"DNK","Denmark","EU",19216,3317.563,629,108.594,2830499,57184.195,42.299999,19.96526,8.3000002,114.767,2.5,0.93,59.200001,54966.9840261554
"DOM","Dominican Republic","NAM",103660,9555.7627,1968,181.418,408014,18419.035,27.6,7.2983894,8.6000004,266.65302,1.6,0.745,59.900002,18515.4939183041
"ECU","Ecuador","SAM",118594,6721.8501,10903,617.97699,474915,11375.331,28.1,7.3721995,5.5,140.448,1.5,0.758,54.900002,9229.45135986565
"EST","Estonia","EU",2676,2017.28,64,48.245998,172857,36710.41,42.700001,19.991808,4.1999998,255.569,4.69,0.882,60.400002,36171.1475977056
"ETH","Ethiopia","AF",64301,559.31598,1013,8.8109999,1110495,2219.7087,19.799999,3.5166905,4.3000002,182.634,0.3,0.47,18.1,1235.94803901017
"FIN","Finland","EU",8580,1548.536,337,60.821999,812018,48621.09,42.799999,22.140644,5.5999999,153.507,3.28,0.925,62.5,49429.9187039993
"FJI","Fiji","OC",32,35.696999,2,2.2309999,9076,13853.429,28.6,5.6242294,14.7,412.82001,2.3,0.724,63.400002,15352.1817309342
"GBR","United Kingdom","EU",368504,5428.2759,41628,613.20398,16145887,46699.301,40.799999,18.508696,3.9000001,122.137,2.54,0.92,67.199997,47306.4865567934
"GHA","Ghana","AF",45434,1462.172,286,9.2040005,452184,5412.6279,21.1,3.0973222,2.5,298.245,0.9,0.596,29.299999,4612.59634953914
"GRC","Greece","EU",13240,1270.261,305,29.261999,1125882,30314.566,45.299999,21.941469,4.6999998,175.69501,4.21,0.872,67.099998,30662.1263935
"HRV","Croatia","EU",13533,3296.4961,224,54.563999,367356,28508.518,44,20.860136,5.4000001,253.782,5.54,0.837,64.300003,30136.1836066771
"HUN","Hungary","EU",12309,1274.177,637,65.940002,549211,32622.852,43.400002,19.694458,6.9000001,278.29599,7.02,0.845,65.400002,31865.3296981151
