"","alpha","efe_1","T","y_2","final_reg_quant","gamma_0","gamma_1","predicted"
"474",6.50051378996182,0.332839695037928,"t4973",-1.50815100462449,-3.41340662636371,-3.41814376048416,0.00458132312143373,-3.41661891429355
"475",6.12699061530789,-56.4941823892715,"t4974",-1.58067959707315,-3.60977105236121,-3.41253762563122,0.00466052896809489,-3.67583039918526
"476",-7.85979452577712,-57.0137703691866,"t4975",-0.439308051489671,-3.61156647629315,-3.41321479882226,0.00467126962546526,-3.67954149258109
"477",-0.376109485408442,135.04246443827,"t4976",-1.19146359131869,-2.94792071545678,-3.42466388739142,0.00459565650493407,-2.80405510725336
"478",6.58359979487693,-74.3360560567953,"t4977",-3.78302050944803,-3.67142322333447,-3.42118254051624,0.00468966495466313,-3.76979373747366
"479",-2.82061874720665,6.60580477321614,"t4978",-3.99218075926725,-3.3917305444277,-3.42004755154959,0.00470271533082211,-3.38898233217017
"480",6.14168607083774,86.5408243147369,"t4979",-1.24679261239837,-3.11551698169548,-3.42904776459148,0.00469188614107137,-3.02300807035228
"481",2.78232299774608,75.3624035962648,"t4980",-2.84772531692909,-3.15414374916334,-3.42107811615068,0.00468585148965837,-3.06794108499489
"482",0.656422421798359,-20.1618847708482,"t4981",-0.675201714071034,-3.48422566030411,-3.42689013126589,0.00460728187879441,-3.51978161761296
"483",-1.68105306588583,44.2494902602429,"t4982",-2.64885787271459,-3.26165368271702,-3.42184315381667,0.00470885779021371,-3.21347859689174
"484",-1.4808304677103,31.1001518682137,"t4983",-1.76207701213159,-3.30709090942524,-3.43466035822804,0.00469669317152137,-3.28859248731532
"485",-1.07300190648959,-66.9205026156439,"t4984",-3.18365411139131,-3.64579895443005,-3.43496072460777,0.00467786915847753,-3.74800607986331
"486",-0.743802127718046,18.4464402988514,"t4985",-1.78084030152598,-3.35081550941166,-3.43239260472427,0.00458596461124574,-3.34779788231028
